reception_ts,container_id,sample_id,sender_ts,latency(ms)
1505938554860,pub-t1-isisws-100,124,1505938554859,1
1505938554881,pub-t1-isisws-100,125,1505938554879,2
1505938554894,pub-t1-isisws-100,126,1505938554892,2
1505938554897,pub-t1-isisws-100,127,1505938554895,2
1505938554898,pub-t1-isisws-100,128,1505938554897,1
1505938554908,pub-t1-isisws-100,129,1505938554906,2
1505938554934,pub-t1-isisws-100,130,1505938554932,2
1505938554966,pub-t1-isisws-100,131,1505938554964,2
1505938554977,pub-t1-isisws-100,132,1505938554975,2
1505938554995,pub-t1-isisws-100,133,1505938554994,1
1505938555001,pub-t1-isisws-100,134,1505938554999,2
1505938555008,pub-t1-isisws-100,135,1505938555006,2
1505938555009,pub-t1-isisws-100,136,1505938555007,2
1505938555014,pub-t1-isisws-100,137,1505938555010,4
1505938555014,pub-t1-isisws-100,138,1505938555010,4
1505938555017,pub-t1-isisws-100,139,1505938555014,3
1505938555019,pub-t1-isisws-100,140,1505938555017,2
1505938555019,pub-t1-isisws-100,141,1505938555017,2
1505938555021,pub-t1-isisws-100,142,1505938555019,2
1505938555025,pub-t1-isisws-100,143,1505938555024,1
1505938555032,pub-t1-isisws-100,144,1505938555031,1
1505938555035,pub-t1-isisws-100,145,1505938555034,1
1505938555040,pub-t1-isisws-100,146,1505938555038,2
1505938555041,pub-t1-isisws-100,147,1505938555039,2
1505938555048,pub-t1-isisws-100,148,1505938555047,1
1505938555059,pub-t1-isisws-100,149,1505938555058,1
1505938555065,pub-t1-isisws-100,150,1505938555063,2
1505938555068,pub-t1-isisws-100,151,1505938555066,2
1505938555068,pub-t1-isisws-100,152,1505938555066,2
1505938555068,pub-t1-isisws-100,153,1505938555066,2
1505938555080,pub-t1-isisws-100,154,1505938555079,1
1505938555084,pub-t1-isisws-100,155,1505938555083,1
1505938555099,pub-t1-isisws-100,156,1505938555098,1
1505938555106,pub-t1-isisws-100,157,1505938555104,2
1505938555106,pub-t1-isisws-100,158,1505938555104,2
1505938555116,pub-t1-isisws-100,159,1505938555114,2
1505938555136,pub-t1-isisws-100,160,1505938555135,1
1505938555141,pub-t1-isisws-100,161,1505938555140,1
1505938555149,pub-t1-isisws-100,162,1505938555147,2
1505938555149,pub-t1-isisws-100,163,1505938555147,2
1505938555156,pub-t1-isisws-100,164,1505938555154,2
1505938555164,pub-t1-isisws-100,165,1505938555162,2
1505938555169,pub-t1-isisws-100,166,1505938555168,1
1505938555200,pub-t1-isisws-100,167,1505938555198,2
1505938555202,pub-t1-isisws-100,168,1505938555200,2
1505938555207,pub-t1-isisws-100,169,1505938555205,2
1505938555208,pub-t1-isisws-100,170,1505938555205,3
1505938555208,pub-t1-isisws-100,171,1505938555206,2
1505938555217,pub-t1-isisws-100,172,1505938555216,1
1505938555220,pub-t1-isisws-100,173,1505938555219,1
1505938555223,pub-t1-isisws-100,174,1505938555222,1
1505938555231,pub-t1-isisws-100,175,1505938555229,2
1505938555234,pub-t1-isisws-100,176,1505938555232,2
1505938555240,pub-t1-isisws-100,177,1505938555239,1
1505938555262,pub-t1-isisws-100,178,1505938555261,1
1505938555264,pub-t1-isisws-100,179,1505938555262,2
1505938555268,pub-t1-isisws-100,180,1505938555266,2
